variety,condition,relative_path,filename,extension,size_bytes,width,height,aspect_ratio,status,sha256
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195040.jpg,20250607_195040.jpg,.jpg,1036378,3456,1610,2.1466,ok,77614c6800f2b95f75a096007275e2f38fa3d8dfd49404f6c3a76bbb90f34703
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195042.jpg,20250607_195042.jpg,.jpg,1142823,3456,1964,1.7597,ok,ed42a1ae53988c432441bea61670af7f1f231a93d3e75a6d937c85b028d3551e
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195055.jpg,20250607_195055.jpg,.jpg,4492241,4608,3456,1.3333,ok,386348edf0a799b7ee9321fd5f18c9ae26014bc578e43fa06d79a06e48d1d028
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195102.jpg,20250607_195102.jpg,.jpg,4346930,4608,3456,1.3333,ok,90b211a07b65cf21bb865062b60371f74880a3bc196d4121f720abccf512f1c3
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195105.jpg,20250607_195105.jpg,.jpg,3997005,4608,3456,1.3333,ok,a2c149b6e6706bee7cb84c5a1ad20ed42648c7fdb8fe926d4a28f3ef5c9a7b79
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195107.jpg,20250607_195107.jpg,.jpg,4201931,4608,3456,1.3333,ok,ade7cc01a67f8dfaf7b1921ce4c60cbd6024938abaca8ae7346811312de5ebe7
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195108.jpg,20250607_195108.jpg,.jpg,4219383,4608,3456,1.3333,ok,d694e880a4b43b4914158cf286f0449a1b685cb91e8cbe79edd7456b77215dd8
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195110(0).jpg,20250607_195110(0).jpg,.jpg,4192431,4608,3456,1.3333,ok,142cdc9a0d06b9320f9ce85e8e6a27c98a52d0154fbf1bd6bfead6d659455499
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195110.jpg,20250607_195110.jpg,.jpg,4236610,4608,3456,1.3333,ok,39a33d081c587348c21bc6c0db2bb15fe3b4797f072a404e85bd2358693754cf
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195112.jpg,20250607_195112.jpg,.jpg,4268007,4608,3456,1.3333,ok,6e7a66c5d10c9480edd9f907e0d89e9f19333ac6857bb6ce1ba7ea6ae6da11b6
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195144.jpg,20250607_195144.jpg,.jpg,4823661,4608,3456,1.3333,ok,e5aa16705beb3ffae54ddb4f3a3e37fd6185e26b65d81a30bacb8270334b0196
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195208.jpg,20250607_195208.jpg,.jpg,4705014,4608,3456,1.3333,ok,948fb1ad1b1e6c9ddab9e6a29a14bc1baf0eb626a4d13c7b903843a021c171de
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195214.jpg,20250607_195214.jpg,.jpg,5019878,4608,3456,1.3333,ok,5f788c8e8dafa1440d25d781b350389f6c6eac778297e080dce0d86088b68f0c
Amrapalli,After Ripening,Amrapalli/After Ripening/20250607_195239.jpg,20250607_195239.jpg,.jpg,4486863,4608,3456,1.3333,ok,3e1167a696177a30950687dfcd13658e73295935e536fe6408f9cd7206992c40
